78,1,325,2006,0,176,4,0,4,1,0
16,1,356,2009,0,185,2,1,5,0,1
87,1,389,2011,0,186,3,1,1,1,0
96,2,331,2011,0,156,2,1,3,1,1
50,3,278,2013,1,170,3,1,3,0,1
239,3,326,2006,0,186,2,1,4,0,0
184,1,331,2000,0,192,3,1,4,1,1
163,2,314,2010,0,195,3,0,4,0,1
221,1,315,2004,0,201,1,0,1,1,1
201,2,350,2001,0,210,2,0,4,1,1
270,2,240,2006,1,213,1,1,3,0,0
261,1,298,2008,1,238,1,0,3,1,1
276,2,302,2014,0,203,2,1,3,0,0
294,3,260,2004,1,266,4,0,2,1,0
288,3,258,2009,0,328,5,0,3,1,1
277,2,399,2014,0,339,4,0,3,0,1
316,3,215,2012,1,286,1,1,1,1,1
395,1,344,2011,1,339,5,1,1,0,1
313,1,303,2005,1,286,3,1,5,0,1
312,2,316,2004,1,279,4,1,2,0,1
367,2,262,2012,1,300,5,1,1,0,1
271,3,293,2015,1,332,4,0,1,1,1
253,3,364,2005,0,264,4,0,4,0,1
285,3,215,2013,1,266,1,0,5,1,1
269,2,289,2014,1,251,4,1,1,1,1
267,2,322,2010,1,345,3,0,2,1,1
265,1,383,2000,0,320,4,0,1,0,1
399,2,238,2004,1,326,5,1,4,1,1
386,1,250,2006,0,331,4,0,5,0,1
300,3,342,2004,1,315,5,1,1,1,1
278,1,288,2012,0,321,1,0,5,0,1
385,3,300,2007,1,297,1,1,1,0,1
346,2,330,2007,0,250,1,1,3,0,1
278,3,391,2004,1,291,1,0,2,0,1
340,1,215,2013,0,334,5,1,1,1,1
329,1,303,2012,0,302,1,1,2,1,1
302,1,304,2000,0,316,5,0,2,0,1
250,2,372,2000,1,299,5,1,1,0,1
333,3,365,2011,0,306,3,0,5,1,1
314,1,346,2014,0,342,5,1,4,0,1
258,1,308,2001,1,271,5,0,3,0,1
272,2,301,2012,1,292,4,0,2,0,1
393,2,303,2008,1,334,2,0,2,1,1
263,3,275,2009,0,266,5,0,1,0,1
304,2,248,2010,0,257,2,1,4,1,1
380,1,376,2011,1,277,1,0,2,1,1
252,1,231,2009,0,321,3,0,4,1,1
264,3,324,2002,0,262,4,0,5,0,1
323,3,290,2004,1,347,3,0,5,0,1
287,1,369,2005,0,262,4,0,4,0,1
273,3,270,2013,0,266,5,0,2,1,1
252,3,264,2012,0,281,1,0,2,1,1
324,1,263,2005,0,285,2,1,4,0,1
319,3,369,2006,1,330,2,1,1,0,1
359,2,281,2015,0,250,2,0,1,1,1
340,1,248,2015,1,256,2,1,4,0,1
314,1,346,2014,0,342,5,1,4,0,1
258,1,308,2001,1,271,5,0,3,0,1
272,2,301,2012,1,292,4,0,2,0,0
393,2,303,2008,1,334,2,0,2,1,1
263,3,275,2009,0,266,5,0,1,0,0
304,2,248,2010,0,257,2,1,4,1,1
380,1,376,2011,1,277,1,0,2,1,0
252,1,231,2009,0,321,3,0,4,1,1
264,3,324,2002,0,262,4,0,5,0,0
323,3,290,2004,1,347,3,0,5,0,1
287,1,369,2005,0,262,4,0,4,0,0
273,3,270,2013,0,266,5,0,2,1,1
252,3,264,2012,0,281,1,0,2,1,0
324,1,263,2005,0,285,2,1,4,0,1
319,3,369,2006,1,330,2,1,1,0,0
359,2,281,2015,0,250,2,0,1,1,1
340,1,248,2015,1,256,2,1,4,0,0
366,1,392,2012,1,311,4,0,5,0,1
395,1,385,2000,1,342,2,1,5,0,1
251,1,306,2009,0,288,1,0,3,1,1
290,1,274,2015,1,273,4,0,2,1,1
261,1,240,2012,1,313,3,0,5,1,1
358,1,303,2009,1,315,2,1,2,0,1
360,2,227,2010,0,303,4,0,3,0,1
337,3,320,2011,1,314,2,0,5,1,1
320,1,281,2000,1,270,3,0,3,0,1
376,1,334,2004,1,309,5,1,4,1,1
327,1,382,2000,1,259,3,0,4,0,1
305,1,298,2000,0,324,5,0,5,1,1
270,3,269,2001,0,328,3,0,5,1,1
353,1,230,2010,0,309,2,0,4,1,1
258,1,349,2015,1,262,4,1,4,1,1
259,1,227,2006,0,350,5,0,3,0,1
299,1,207,2014,1,326,5,0,3,0,1
274,2,266,2006,1,253,2,0,2,1,1
379,1,230,2007,0,338,1,1,4,0,1
291,3,374,2003,0,295,4,1,3,0,1
331,2,273,2015,0,323,1,1,4,0,1
326,1,207,2012,0,284,4,1,4,0,1
260,2,225,2002,1,279,5,1,2,1,1
322,3,376,2014,0,295,4,1,5,1,1
263,1,240,2012,1,313,3,0,5,1,1
354,1,303,2009,1,315,2,1,2,0,1
365,2,227,2010,0,303,4,0,3,0,1
336,3,320,2011,1,314,2,0,5,1,1
327,1,281,2000,1,270,3,0,3,0,1
378,1,334,2004,1,309,5,1,4,1,1
329,1,382,2000,1,259,3,0,4,0,1
309,1,298,2000,0,324,5,0,5,1,1
270,3,269,2001,0,328,3,0,5,1,1
350,1,230,2010,0,309,2,0,4,1,1
251,1,349,2015,1,262,4,1,4,1,1
252,1,227,2006,0,350,5,0,3,0,1
293,1,207,2014,1,326,5,0,3,0,1
274,2,266,2006,1,253,2,0,2,1,1
375,1,230,2007,0,338,1,1,4,0,1
296,3,374,2003,0,295,4,1,3,0,1
337,2,273,2015,0,323,1,1,4,0,1
328,1,207,2012,0,284,4,1,4,0,1
260,2,225,2002,1,279,5,1,2,1,1
322,3,376,2014,0,295,4,1,5,1,1
273,2,266,2006,1,253,2,0,2,1,1
372,1,230,2007,0,338,1,1,4,0,1
290,3,374,2003,0,295,4,1,3,0,1
339,2,273,2015,0,323,1,1,4,0,1
328,1,207,2012,0,284,4,1,4,0,1
267,2,225,2002,1,279,5,1,2,1,1
325,3,376,2014,0,295,4,1,5,1,1
342,2,376,2009,0,252,1,1,5,1,1
309,2,224,2015,0,314,1,1,3,0,1
373,3,222,2009,1,271,1,0,5,0,1
291,2,330,2001,1,277,3,0,4,1,1
336,1,238,2001,1,256,2,0,3,0,1
387,1,347,2002,1,262,4,0,5,1,1
291,3,374,2003,0,295,4,1,3,0,1
331,2,273,2015,0,323,1,1,4,0,1
326,1,207,2012,0,284,4,1,4,0,1
260,2,225,2002,1,279,5,1,2,1,1
321,3,376,2014,0,295,4,1,5,1,1
342,2,376,2009,0,252,1,1,5,1,1
309,2,224,2015,0,314,1,1,3,0,1
373,3,222,2009,1,271,1,0,5,0,1
291,2,330,2001,1,277,3,0,4,1,1
336,1,238,2001,1,256,2,0,3,0,1
387,1,347,2002,1,262,4,0,5,1,1
266,1,200,2009,1,292,1,1,5,0,1
346,3,399,2009,0,341,4,1,2,0,1
252,1,207,2013,0,304,4,0,2,1,1
396,2,201,2004,1,334,3,0,4,1,1
384,3,345,2015,0,261,4,0,4,0,1
267,3,384,2000,1,346,3,0,5,0,1
312,2,316,2001,1,294,1,0,2,1,1
251,1,311,2002,0,283,4,1,4,0,1
307,2,387,2005,1,254,3,1,2,0,1
377,3,399,2005,1,287,4,1,1,0,1
397,1,262,2006,0,280,1,0,5,0,1
345,1,201,2007,0,308,2,1,1,0,1
304,2,301,2006,1,264,3,0,1,0,1
278,2,317,2012,1,278,1,1,1,1,1
292,3,335,2009,1,314,3,0,5,0,1
489,1,313,2001,0,303,2,0,1,0,0
490,1,393,2000,1,256,5,1,3,1,1
491,1,234,2004,1,297,5,0,4,1,0
444,3,309,2002,0,313,2,0,3,0,0
477,2,316,2006,1,309,3,0,4,0,0
411,3,298,2002,1,250,3,0,2,0,1
490,1,313,2005,1,323,5,1,3,0,0
447,1,388,2009,1,284,2,1,3,1,0
458,3,359,2015,0,320,4,1,4,1,0
464,2,365,2005,0,265,5,0,4,1,1
431,2,335,2013,0,326,1,1,3,1,0
485,3,247,2014,1,275,3,1,3,1,0
486,1,273,2004,0,324,1,0,3,0,1
427,2,248,2010,1,338,2,0,3,1,0
471,2,227,2001,1,328,5,1,2,0,1
420,3,256,2004,0,331,1,0,4,0,0
475,2,358,2014,0,298,2,1,2,0,0
496,2,355,2011,1,312,4,0,4,0,0
454,1,309,2000,1,303,2,0,3,0,0
405,1,362,2006,0,292,1,1,4,1,0
490,1,260,2003,1,265,4,0,1,1,1
431,2,315,2013,0,345,5,0,1,0,1
409,2,358,2007,1,261,3,0,1,0,0
452,1,224,2013,0,284,4,1,4,0,0
